blastcode,minename,pitname,benchname,zonename,blastdate,blasttime,rock_name,rock_density,burden,holedia,spacing,hole_depth,sremming_length,bench_height,face_length,hole_angle,total_rows,hole_blasted,expcode,column_charge_density,avg_column_charge_length,avg_col_weight,base_exp_density,avg_base_exp_length,base_exp_weight,booster_length,production_ton_therotical,prodution_therotical_vol,total_explosive_kg,drill_factor,ton_recover,tot_stem,total_drill_mtr,flyrock,air_blast,ppv,total_exp_cost,blast_accessoriesdelay_cost,drillcostperm,drilling_cost,total_drill,man_power_and_accociated_cost,man_power_cost,actual_pf_(ton/kg),theoretical_pf_(ton/kg),frag_over_size,frag_under_size,frag_in_range
1289,Gevra,East Section,Between UK (B) and LK (T),42 cum shovel CAT and PV,2023-10-09,14:15:20,SANDSTONE,2.35,7.12,381.0,7.63,19.0,7.5,19.0,40.0,0.0,1.0,19,11,1.15,6.0,786.26,0.0,0.0,0,0.8,46087.12,19611.54,14970.1,127.67,46609.01,142.5,361.0,0.0,0.0,6.71,875718.4,0.0,500.0,180500.0,361.0,0.0,0.0,3.11,3.08,10.0,0.0,80.0
1290,Gevra,East Section,Between UK (B) and LK (T),42 cum shovel CAT and PV,2023-10-13,14:13:30,SANDSTONE,2.35,7.84,381.0,8.63,19.0,12.7,19.0,40.0,0.0,7.0,25,11,1.15,6.3,825.58,0.0,0.0,0,0.4,75524.58,32138.12,20689.5,159.0,75524.58,317.5,475.0,0.0,0.0,6.71,1212949.0,1048.32,500.0,237500.0,475.0,0.0,0.0,3.65,3.65,10.0,10.0,80.0
1309,Gevra,East Section,Between UK (B) and LK (T),42 cum shovel CAT and PV,2023-10-18,02:37:54,SHALY SST,2.35,11.45,381.0,7.29,12.0,9.32,12.0,40.0,0.0,8.0,17,11,1.15,2.68,350.54,0.0,0.0,0,0.4,40015.75,17027.98,5981.11,196.16,0.0,158.44,204.0,0.0,0.0,6.71,353515.8,0.0,500.0,102000.0,204.0,0.0,0.0,0.0,6.69,10.0,0.0,80.0
1332,Gevra,East Section,Between UK (B) and LK (T),42 cum shovel CAT and PV,2023-10-29,11:33:53,SHALY SST,2.35,16.97,381.0,16.16,19.0,11.75,19.0,40.0,0.0,1.0,9,11,1.15,7.25,950.07,0.0,0.0,0,0.4,0.0,0.0,8568.63,0.0,0.0,105.75,171.0,0.0,0.0,6.71,501309.35,4775.4,0.0,0.0,171.0,0.0,0.0,0.0,0.0,10.0,0.0,80.0
1348,Gevra,East Section,Between UK (B) and LK (T),42 cum shovel CAT and PV,2023-11-02,14:05:55,SANDSTONE,2.35,6.73,381.0,11.06,19.0,11.69,19.0,40.0,0.0,2.0,14,11,1.15,7.3,956.61,0.0,0.0,0,0.4,46528.57,19799.39,13420.54,174.92,0.0,163.66,266.0,0.0,0.0,6.71,785097.56,4775.4,0.0,0.0,266.0,0.0,0.0,0.0,3.47,10.0,0.0,80.0
1350,Gevra,Contractual Patches,Between D-seam and E&F Top,KCC TOP PATCH,2023-11-30,14:50:48,SANDSTONE,2.35,3.58,159.0,5.13,9.0,5.09,9.0,40.0,0.0,5.0,41,11,1.15,3.91,89.17,0.0,0.0,0,0.4,15925.55,6776.83,3664.07,43.16,0.0,208.53,369.0,0.0,0.0,6.71,160562.7,4775.4,150.0,55350.0,369.0,0.0,0.0,0.0,4.35,10.0,0.0,80.0
1742,Gevra,East Section,Between UK (B) and LK (T),42 cum shovel CAT and PV,2023-12-06,14:20:13,SHALY SST,2.35,7.19,381.0,9.48,19.0,12.5,19.0,40.0,0.0,3.0,12,11,1.15,6.5,851.78,0.0,0.0,0,0.4,36520.76,15540.75,10245.36,160.18,0.0,150.0,228.0,0.0,0.0,6.71,600356.5,1752.0,500.0,114000.0,228.0,0.0,0.0,0.0,3.56,10.0,0.0,80.0
1752,Gevra,East Section,Between UK and LK (C) (OB),42 cum shovel CAT and PV,2024-02-03,14:15:34,SANDSTONE,2.35,8.29,381.0,9.77,19.0,6.13,19.0,40.0,0.0,3.0,14,11,1.15,6.86,900.27,0.0,0.0,0,0.8,50628.92,21544.22,12628.28,190.33,0.0,85.82,266.0,0.0,0.0,6.71,738042.61,4775.4,0.0,0.0,266.0,0.0,0.0,0.0,4.01,10.0,0.0,80.0
1753,Gevra,East Section,Between UK and LK (C) (OB),42 cum shovel CAT and PV,2024-02-02,14:10:45,SANDSTONE,2.35,7.1,381.0,10.64,19.0,8.22,19.0,40.0,0.0,2.0,12,11,1.15,6.77,888.26,0.0,0.0,0,0.67,0.0,0.0,10680.64,0.0,0.0,98.66,228.0,0.0,0.0,6.71,624536.88,4775.4,0.0,0.0,228.0,0.0,0.0,0.0,0.0,10.0,0.0,80.0
1792,Gevra,East Section,Between UK and LK (C) (OB),42 cum shovel CAT and PV,2024-02-04,13:58:37,SANDSTONE,2.35,7.51,381.0,10.66,19.0,7.27,19.0,40.0,0.0,6.0,37,11,1.15,6.17,808.87,0.0,0.0,0,0.75,132257.51,56279.79,29991.18,188.13,0.0,268.99,703.0,0.0,0.0,6.71,1754650.49,4775.4,0.0,0.0,703.0,0.0,0.0,0.0,4.41,10.0,0.0,80.0
