blastcode,burden,optimized_burden,spacing,optimized_spacing,total_explosive_kg,optimized_explosive,total_cost
2738,9.2,9.2,8.32,8.32,9265.56,9265.56,1034556.0
2745,7.4,7.4,7.14,7.14,14486.89,14486.89,1610189.0
2756,6.46,6.46,9.69,9.69,5965.12,5965.12,663012.0
2775,8.38,8.38,7.9,7.9,13081.89,13081.89,1459939.0
2776,3.8,3.8,9.7,9.7,11078.21,11078.21,1231321.0
2777,6.26,6.26,10.69,10.69,12714.62,12714.62,1421212.0
2778,10.64,10.64,4.17,4.17,16425.4,16425.4,1842655.0000000002
2778,6.72,6.72,7.8,7.8,16425.4,16425.4,1842655.0000000002
2779,5.03,5.03,8.68,8.68,10205.64,10205.64,1134564.0
2780,5.15,5.15,10.59,10.59,8553.17,8553.17,958367.0
2782,14.0,14.0,15.68,15.68,8521.6,8521.6,947160.0
2783,7.76,7.76,6.67,6.67,11930.24,11930.24,1326024.0
2786,5.64,5.64,9.27,9.27,13636.0,13636.0,1515600.0
2835,15.02,15.02,9.01,9.01,13078.8,13078.8,1450380.0
2836,6.36,6.36,7.96,7.96,10539.66,10539.66,1177466.0
2837,4.93,4.93,8.93,8.93,10730.19,10730.19,1195019.0
2838,6.95,6.95,7.33,7.33,6817.28,6817.28,757728.0
