blastcode,burden,optimized_burden,spacing,optimized_spacing,total_explosive_kg,optimized_explosive,total_cost,optimized_cost,predicted_frag_in_range,frag_in_range,predicted_oversize,frag_over_size,predicted_ppv,ppv
2130,5.76,5.76,8.93,8.93,17280.08,17280.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2131,6.15,5.8425,8.8,8.8,6418.96,6098.012,713896.0,678201.2,12.47,0.0,1.85,0.0,0.0,0.0
2202,6.73,6.73,8.48,8.48,11081.27,11081.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2203,5.69,5.69,9.45,9.45,12465.81,12465.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2204,6.23,6.23,8.88,8.88,13884.1,13884.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2227,5.52,5.52,5.9,5.9,2204.8,2204.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2228,6.6,6.6,7.68,7.68,12782.55,12782.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2229,5.53,5.53,7.85,7.85,9732.04,9732.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2230,5.85,5.85,8.29,8.29,15787.98,15787.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2239,6.75,6.75,7.75,7.75,11223.04,11223.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2267,6.63,6.63,4.88,4.88,9619.2,9619.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2267,6.06,6.06,8.75,8.75,9619.2,9619.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2304,7.41,7.41,8.69,8.69,19525.6,19525.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2305,6.48,6.48,5.79,5.79,8416.8,8416.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2306,7.29,6.9254999999999995,8.51,8.51,13530.9,12854.355,1495590.0,1420810.5,4.2817,0.0,0.2557,0.0,0.0,0.0
2307,3.65,3.65,4.61,4.61,3006.0,3006.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2308,6.45,6.45,8.42,8.42,11422.68,11422.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2324,8.01,7.6095,7.51,7.51,11823.24,11232.078,1315324.0,1249557.8,10.8893,0.0,0.31739999999999996,0.0,0.047,0.0
2344,7.33,7.33,8.93,8.93,11228.48,11228.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2345,6.24,6.24,8.5,8.5,8421.36,8421.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
